,Hour Ending,Ambient Temp (Â°F),Humidity,REG Max Generation Available (MW),Hourly REG Max MW Bias,Max Net Generation Available,Max_Net_Gen,Hourly Max Net MW Bias,Submitted for Export to PCI
24,9,36,66,520.0,,520.0,620.0,,620.0
25,10,38,60,519.0,,519.0,620.0,,620.0
26,11,41,55,516.0,,516.0,620.0,,620.0
27,12,43,50,514.0,,514.0,620.0,,620.0
28,13,45,46,512.0,,512.0,620.0,,620.0
29,14,47,42,510.0,,510.0,620.0,,620.0
30,15,49,39,508.0,,508.0,617.0,,617.0
31,16,47,42,510.0,,510.0,620.0,,620.0
32,17,45,46,512.0,,512.0,620.0,,620.0
33,18,42,51,515.0,,515.0,620.0,,620.0
34,19,40,55,517.0,,517.0,620.0,,620.0
35,20,38,60,519.0,,519.0,620.0,,620.0
36,21,36,65,521.0,,521.0,620.0,,620.0
37,22,34,68,522.0,,522.0,620.0,,620.0
38,23,33,71,523.0,,523.0,620.0,,620.0
